transaction_id,sender_id,receiver_id,amount,timestamp
TX_06253,ACC_REG_235,ACC_REG_297,7980.66,2026-02-21 21:42:00
TX_04685,ACC_REG_232,ACC_REG_282,3816.99,2026-01-13 15:07:00
TX_01732,ACC_CUSTOMER_446,ACC_MERCHANT,85.12,2026-01-08 17:00:00
TX_04743,ACC_REG_87,ACC_REG_45,1919.69,2026-02-27 11:52:00
TX_04522,ACC_REG_205,ACC_REG_181,98.55,2026-01-28 15:12:00
TX_06341,ACC_REG_233,ACC_REG_257,5129.8,2026-01-17 17:47:00
TX_00577,ACC_C1,ACC_C2,5000.0,2026-01-07 00:00:00
TX_05203,ACC_REG_134,ACC_REG_241,9343.96,2026-02-23 09:23:00
TX_06364,ACC_REG_23,ACC_REG_223,4334.18,2026-02-27 21:24:00
TX_00440,ACC_C4,ACC_C1,5000.0,2026-01-05 13:30:00
TX_02751,ACC_CUSTOMER_465,ACC_MERCHANT,330.74,2026-01-30 04:00:00
TX_07488,ACC_REG_128,ACC_REG_8,50.8,2026-01-05 05:43:00
TX_05273,ACC_REG_136,ACC_REG_67,3286.16,2026-01-24 21:09:00
TX_05654,ACC_REG_1,ACC_REG_34,1897.39,2026-03-01 08:59:00
TX_04000,ACC_REG_128,ACC_REG_250,4977.77,2026-02-10 04:01:00
TX_06034,ACC_REG_237,ACC_REG_255,6676.09,2026-01-11 05:04:00
TX_00583,ACC_C3,ACC_C4,5000.0,2026-01-07 01:20:00
TX_09931,ACC_REG_146,ACC_REG_150,2249.05,2026-02-18 00:29:00
TX_07052,ACC_REG_107,ACC_REG_152,9190.65,2026-01-31 03:15:00
TX_08159,ACC_REG_151,ACC_REG_190,5163.73,2026-01-22 16:14:00
TX_09897,ACC_REG_216,ACC_REG_243,7358.14,2026-02-28 11:55:00
TX_02250,ACC_CUSTOMER_464,ACC_MERCHANT,422.75,2026-01-17 01:00:00
TX_04641,ACC_REG_184,ACC_REG_220,409.73,2026-02-15 21:24:00
TX_09486,ACC_REG_250,ACC_REG_207,1158.67,2026-02-25 00:02:00
TX_04948,ACC_REG_160,ACC_REG_50,3479.98,2026-01-11 03:18:00
TX_09921,ACC_REG_4,ACC_REG_141,226.42,2026-02-18 19:19:00
TX_01964,ACC_CUSTOMER_178,ACC_MERCHANT,161.01,2026-01-06 17:00:00
TX_08244,ACC_REG_110,ACC_REG_198,3282.2,2026-01-10 01:12:00
TX_06591,ACC_REG_28,ACC_REG_139,3974.23,2026-02-20 15:17:00
TX_08848,ACC_REG_164,ACC_REG_19,1543.87,2026-02-11 16:14:00
TX_00322,ACC_C2,ACC_C3,5000.0,2026-01-04 08:10:00
TX_02679,ACC_CUSTOMER_393,ACC_MERCHANT,246.05,2026-01-10 12:00:00
TX_04626,ACC_REG_194,ACC_REG_84,556.17,2026-01-24 20:27:00
TX_04950,ACC_REG_132,ACC_REG_54,9245.91,2026-02-12 08:09:00
TX_08329,ACC_REG_254,ACC_REG_293,7998.31,2026-02-15 02:47:00
TX_03338,ACC_EMPLOYER,ACC_EMP_52,3000.0,2026-01-01 00:00:00
TX_05590,ACC_REG_36,ACC_REG_156,2425.92,2026-01-26 09:52:00
TX_00252,ACC_C4,ACC_C1,5000.0,2026-01-03 14:30:00
TX_03974,ACC_REG_116,ACC_REG_157,1262.19,2026-01-09 02:27:00
TX_06631,ACC_REG_4,ACC_REG_91,3686.39,2026-01-08 05:33:00
TX_05548,ACC_REG_54,ACC_REG_105,2009.42,2026-02-06 23:47:00
TX_00036,ACC_C4,ACC_C1,5000.0,2026-01-01 08:30:00
TX_08363,ACC_REG_95,ACC_REG_81,5260.12,2026-01-11 22:34:00
TX_01514,ACC_CUSTOMER_228,ACC_MERCHANT,107.23,2026-01-05 14:00:00
TX_09318,ACC_REG_187,ACC_REG_286,1083.35,2026-01-19 11:48:00
TX_00040,ACC_C4,ACC_C1,5000.0,2026-01-01 09:30:00
TX_04820,ACC_REG_248,ACC_REG_102,1155.94,2026-01-01 04:38:00
TX_03466,ACC_EMPLOYER,ACC_EMP_80,3000.0,2026-01-31 00:00:00
TX_01761,ACC_CUSTOMER_475,ACC_MERCHANT,261.84,2026-01-04 14:00:00
TX_02305,ACC_CUSTOMER_19,ACC_MERCHANT,233.47,2026-01-01 09:00:00
TX_03724,ACC_REG_44,ACC_REG_25,1097.79,2026-01-12 05:43:00
TX_08285,ACC_REG_89,ACC_REG_79,680.18,2026-01-04 11:04:00
TX_04994,ACC_REG_159,ACC_REG_165,4257.28,2026-02-17 00:19:00
TX_08128,ACC_REG_245,ACC_REG_13,8418.77,2026-01-25 10:24:00
TX_03033,ACC_CUSTOMER_247,ACC_MERCHANT,113.28,2026-01-20 08:00:00
TX_07939,ACC_REG_132,ACC_REG_124,9840.9,2026-02-15 00:29:00
TX_03040,ACC_CUSTOMER_254,ACC_MERCHANT,81.54,2026-01-11 11:00:00
TX_09656,ACC_REG_266,ACC_REG_167,4962.77,2026-01-16 01:59:00
TX_02546,ACC_CUSTOMER_260,ACC_MERCHANT,476.48,2026-01-23 00:00:00
TX_02593,ACC_CUSTOMER_307,ACC_MERCHANT,314.77,2026-01-05 01:00:00
TX_01189,ACC_SH3,ACC_SH4,7000.0,2026-01-15 21:10:00
TX_07967,ACC_REG_278,ACC_REG_92,6253.68,2026-01-04 19:47:00
TX_06078,ACC_REG_247,ACC_REG_91,9140.4,2026-01-22 12:10:00
TX_00108,ACC_C4,ACC_C1,5000.0,2026-01-02 02:30:00
TX_01316,ACC_CUSTOMER_30,ACC_MERCHANT,424.57,2026-01-22 10:00:00
TX_08188,ACC_REG_4,ACC_REG_294,2857.22,2026-01-20 15:22:00
TX_02754,ACC_CUSTOMER_468,ACC_MERCHANT,152.18,2026-01-23 20:00:00
TX_09754,ACC_REG_197,ACC_REG_296,5906.64,2026-02-18 03:11:00
TX_06232,ACC_REG_132,ACC_REG_48,8497.7,2026-02-27 17:51:00
TX_02877,ACC_CUSTOMER_91,ACC_MERCHANT,269.17,2026-01-22 10:00:00
TX_05324,ACC_REG_164,ACC_REG_205,7535.66,2026-02-19 05:54:00
TX_00800,ACC_C4,ACC_C1,5000.0,2026-01-09 07:30:00
TX_03571,ACC_EMPLOYER,ACC_EMP_85,3000.0,2026-03-02 00:00:00
TX_02895,ACC_CUSTOMER_109,ACC_MERCHANT,400.06,2026-01-27 02:00:00
TX_02928,ACC_CUSTOMER_142,ACC_MERCHANT,406.3,2026-01-10 14:00:00
TX_08179,ACC_REG_5,ACC_REG_92,3063.24,2026-02-11 05:41:00
TX_00972,ACC_SH2,ACC_SH3,7000.0,2026-01-12 21:05:00
TX_06688,ACC_REG_52,ACC_REG_243,6425.51,2026-02-14 15:20:00
TX_08576,ACC_REG_292,ACC_REG_229,2536.09,2026-01-11 01:14:00
TX_02021,ACC_CUSTOMER_235,ACC_MERCHANT,365.9,2026-01-22 19:00:00
TX_09055,ACC_REG_202,ACC_REG_213,784.97,2026-02-14 09:22:00
TX_00953,ACC_SH1,ACC_SH2,7000.0,2026-01-12 15:00:00
TX_05360,ACC_REG_92,ACC_REG_15,6497.58,2026-02-01 23:07:00
TX_03858,ACC_REG_18,ACC_REG_173,569.98,2026-02-20 23:02:00
TX_05862,ACC_REG_139,ACC_REG_102,6292.18,2026-02-12 19:36:00
TX_03146,ACC_CUSTOMER_360,ACC_MERCHANT,68.13,2026-01-31 05:00:00
TX_03306,ACC_EMPLOYER,ACC_EMP_20,3000.0,2026-01-01 00:00:00
TX_03007,ACC_CUSTOMER_221,ACC_MERCHANT,401.22,2026-01-02 05:00:00
TX_09002,ACC_REG_20,ACC_REG_187,938.23,2026-02-27 06:15:00
TX_07771,ACC_REG_3,ACC_REG_223,2899.79,2026-02-10 22:59:00
TX_07439,ACC_REG_153,ACC_REG_207,5811.56,2026-01-28 10:24:00
TX_07943,ACC_REG_49,ACC_REG_22,701.74,2026-02-15 04:26:00
TX_09239,ACC_REG_184,ACC_REG_104,5497.64,2026-01-14 18:41:00
TX_01057,ACC_SH3,ACC_SH4,7000.0,2026-01-14 01:10:00
TX_03155,ACC_CUSTOMER_369,ACC_MERCHANT,314.7,2026-01-30 12:00:00
TX_03788,ACC_REG_222,ACC_REG_176,9902.99,2026-02-07 00:39:00
TX_09190,ACC_REG_210,ACC_REG_217,296.34,2026-01-15 00:54:00
TX_07826,ACC_REG_111,ACC_REG_69,7431.57,2026-01-06 12:41:00
TX_07540,ACC_REG_112,ACC_REG_86,9711.03,2026-01-28 00:47:00
TX_07232,ACC_REG_261,ACC_REG_281,4419.39,2026-01-06 15:39:00
TX_00765,ACC_C1,ACC_C2,5000.0,2026-01-08 23:00:00
TX_05020,ACC_REG_169,ACC_REG_48,620.47,2026-01-30 19:10:00
TX_04904,ACC_REG_238,ACC_REG_18,9659.2,2026-01-31 20:54:00
TX_08094,ACC_REG_178,ACC_REG_152,6258.08,2026-02-04 22:46:00
TX_06844,ACC_REG_92,ACC_REG_62,4457.25,2026-01-20 13:20:00
TX_02166,ACC_CUSTOMER_380,ACC_MERCHANT,233.83,2026-01-29 16:00:00
TX_01863,ACC_CUSTOMER_77,ACC_MERCHANT,491.55,2026-01-26 10:00:00
TX_07851,ACC_REG_140,ACC_REG_15,8147.11,2026-02-21 11:10:00
TX_09124,ACC_REG_84,ACC_REG_181,4787.17,2026-01-21 18:36:00
TX_02341,ACC_CUSTOMER_55,ACC_MERCHANT,93.99,2026-01-09 21:00:00
TX_05528,ACC_REG_144,ACC_REG_165,5660.51,2026-02-06 01:56:00
TX_06744,ACC_REG_290,ACC_REG_57,909.58,2026-02-25 19:28:00
TX_04004,ACC_REG_238,ACC_REG_103,2942.69,2026-02-01 15:32:00
TX_01124,ACC_SH1,ACC_SH2,7000.0,2026-01-15 00:00:00
TX_08710,ACC_REG_184,ACC_REG_40,6596.36,2026-02-03 18:47:00
TX_04050,ACC_REG_251,ACC_REG_273,3753.3,2026-03-02 03:20:00
TX_07641,ACC_REG_298,ACC_REG_164,2861.29,2026-01-29 15:41:00
TX_00766,ACC_C2,ACC_C3,5000.0,2026-01-08 23:10:00
TX_02345,ACC_CUSTOMER_59,ACC_MERCHANT,220.78,2026-01-28 22:00:00
TX_04072,ACC_REG_76,ACC_REG_45,9580.75,2026-01-11 18:07:00
TX_07217,ACC_REG_10,ACC_REG_270,1444.23,2026-02-01 21:02:00
TX_04217,ACC_REG_163,ACC_REG_72,4134.1,2026-01-21 08:24:00
TX_07953,ACC_REG_71,ACC_REG_208,4238.59,2026-01-10 16:09:00
TX_05971,ACC_REG_174,ACC_REG_182,530.0,2026-01-28 16:35:00
TX_03351,ACC_EMPLOYER,ACC_EMP_65,3000.0,2026-01-01 00:00:00
TX_04696,ACC_REG_295,ACC_REG_200,8431.88,2026-02-10 08:53:00
TX_03400,ACC_EMPLOYER,ACC_EMP_14,3000.0,2026-01-31 00:00:00
TX_04082,ACC_REG_170,ACC_REG_120,4714.61,2026-01-23 19:42:00
TX_09150,ACC_REG_235,ACC_REG_77,2268.68,2026-02-22 12:48:00
TX_01225,ACC_SH3,ACC_SH4,7000.0,2026-01-16 09:10:00
TX_06293,ACC_REG_128,ACC_REG_91,479.11,2026-02-28 12:24:00
TX_03123,ACC_CUSTOMER_337,ACC_MERCHANT,398.99,2026-01-08 15:00:00
TX_00511,ACC_C3,ACC_C4,5000.0,2026-01-06 07:20:00
TX_05795,ACC_REG_35,ACC_REG_39,9828.31,2026-02-25 03:54:00
TX_08182,ACC_REG_120,ACC_REG_222,3133.59,2026-02-27 00:06:00
TX_09418,ACC_REG_76,ACC_REG_49,9280.42,2026-01-28 16:09:00
TX_00097,ACC_C1,ACC_C2,5000.0,2026-01-02 00:00:00
TX_06682,ACC_REG_118,ACC_REG_297,5565.72,2026-01-17 15:10:00
TX_01513,ACC_CUSTOMER_227,ACC_MERCHANT,328.52,2026-01-01 02:00:00
TX_08792,ACC_REG_118,ACC_REG_0,478.32,2026-02-17 17:32:00
TX_00120,ACC_C4,ACC_C1,5000.0,2026-01-02 05:30:00
TX_07792,ACC_REG_212,ACC_REG_47,9265.17,2026-01-27 21:35:00
TX_06518,ACC_REG_4,ACC_REG_154,6475.76,2026-01-25 05:29:00
TX_00034,ACC_C2,ACC_C3,5000.0,2026-01-01 08:10:00
TX_07888,ACC_REG_200,ACC_REG_56,4757.18,2026-02-20 16:45:00
TX_06831,ACC_REG_26,ACC_REG_270,8518.28,2026-01-04 11:19:00
TX_05422,ACC_REG_243,ACC_REG_292,6451.45,2026-01-19 21:39:00
TX_01069,ACC_SH3,ACC_SH4,7000.0,2026-01-14 05:10:00
TX_01348,ACC_CUSTOMER_62,ACC_MERCHANT,253.28,2026-01-03 23:00:00
TX_04748,ACC_REG_299,ACC_REG_211,6372.67,2026-02-12 03:33:00
TX_06006,ACC_REG_84,ACC_REG_244,7525.81,2026-01-01 00:42:00
TX_06040,ACC_REG_278,ACC_REG_163,4090.17,2026-01-22 07:36:00
TX_03818,ACC_REG_43,ACC_REG_74,5959.49,2026-02-22 04:53:00
TX_08447,ACC_REG_219,ACC_REG_249,9998.57,2026-01-24 21:50:00
TX_05270,ACC_REG_42,ACC_REG_48,7175.51,2026-01-19 19:06:00
TX_06898,ACC_REG_236,ACC_REG_165,6349.71,2026-01-14 10:34:00
TX_05310,ACC_REG_128,ACC_REG_182,840.1,2026-01-07 22:51:00
TX_00032,ACC_C4,ACC_C1,5000.0,2026-01-01 07:30:00
TX_05675,ACC_REG_10,ACC_REG_255,5080.52,2026-01-25 14:38:00
TX_04387,ACC_REG_85,ACC_REG_241,4419.35,2026-02-02 19:47:00
TX_00030,ACC_C2,ACC_C3,5000.0,2026-01-01 07:10:00
TX_04203,ACC_REG_209,ACC_REG_198,2335.89,2026-01-26 10:34:00
TX_07508,ACC_REG_3,ACC_REG_26,3870.28,2026-01-29 10:33:00
TX_00736,ACC_C4,ACC_C1,5000.0,2026-01-08 15:30:00
TX_02068,ACC_CUSTOMER_282,ACC_MERCHANT,467.06,2026-01-05 10:00:00
TX_00107,ACC_C3,ACC_C4,5000.0,2026-01-02 02:20:00
TX_09645,ACC_REG_111,ACC_REG_291,6169.88,2026-01-22 07:05:00
TX_08895,ACC_REG_266,ACC_REG_248,7484.2,2026-02-26 16:43:00
