transaction_id,sender_id,receiver_id,amount,timestamp
TXN_A8165615EC57,BNK_03_ACC_0046,BNK_05_ACC_0057,6469.99,2025-09-01 00:03:00
TXN_C659D608DF33,BNK_03_ACC_0002,BNK_03_ACC_0032,2644.18,2025-09-01 00:04:00
TXN_126417896FB7,BNK_02_ACC_0026,BNK_08_ACC_0034,14681.08,2025-09-01 00:19:00
TXN_CF08C68287D8,BNK_06_ACC_0003,BNK_08_ACC_0024,1304.39,2025-09-01 00:22:00
TXN_D74628B5EC6D,BNK_01_ACC_0049,BNK_02_ACC_0042,12791.0,2025-09-01 00:35:00
TXN_4DBBBAA38499,BNK_07_ACC_0020,BNK_01_ACC_0048,1548.09,2025-09-01 00:40:00
TXN_25AAF2CD0025,BNK_07_ACC_0018,BNK_06_ACC_0028,5822.76,2025-09-01 00:56:00
TXN_BDFCB414442D,BNK_06_ACC_0006,BNK_02_ACC_0056,4280.23,2025-09-01 01:14:00
TXN_E886B8C0058F,BNK_04_ACC_0009,BNK_01_ACC_0057,4878.06,2025-09-01 01:14:00
TXN_0ADF2B597F98,BNK_07_ACC_0047,BNK_06_ACC_0011,12320.66,2025-09-01 01:18:00
TXN_FCE1418EDF74,BNK_06_ACC_0031,BNK_02_ACC_0013,20142.26,2025-09-01 01:18:00
TXN_9B2F264A959D,BNK_04_ACC_0020,BNK_05_ACC_0042,795.7,2025-09-01 01:49:00
TXN_4327F2043BC0,BNK_02_ACC_0020,BNK_03_ACC_0031,11114.29,2025-09-01 01:54:00
TXN_EB86E811371D,BNK_03_ACC_0038,BNK_01_ACC_0060,3926.57,2025-09-01 01:56:00
TXN_3725C07509FB,BNK_01_ACC_0039,BNK_05_ACC_0041,2782.07,2025-09-01 02:11:00
TXN_40D5593B3BEB,BNK_05_ACC_0019,BNK_06_ACC_0046,14758.17,2025-09-01 02:12:00
TXN_710C6544AD73,BNK_04_ACC_0009,BNK_04_ACC_0052,11674.54,2025-09-01 02:15:00
TXN_44C8C1FE6B6C,BNK_07_ACC_0001,BNK_02_ACC_0007,3777.92,2025-09-01 02:27:00
TXN_D1FC46506218,BNK_04_ACC_0059,BNK_05_ACC_0017,8013.88,2025-09-01 02:30:00
TXN_119811F2E9EC,BNK_06_ACC_0046,BNK_02_ACC_0042,2862.62,2025-09-01 02:30:00
TXN_38D2F8B12E68,BNK_06_ACC_0021,BNK_03_ACC_0033,4835.74,2025-09-01 02:31:00
TXN_16CD7904C245,BNK_06_ACC_0024,BNK_05_ACC_0022,10641.75,2025-09-01 02:44:00
TXN_A90CEC89D290,BNK_02_ACC_0044,BNK_08_ACC_0036,10552.59,2025-09-01 02:46:00
TXN_D1F4CB181822,BNK_02_ACC_0052,BNK_03_ACC_0044,6931.57,2025-09-01 03:02:00
TXN_9733F0F72E66,BNK_08_ACC_0012,BNK_02_ACC_0048,11627.48,2025-09-01 03:17:00
TXN_616A7633D81E,BNK_01_ACC_0014,BNK_07_ACC_0016,10936.5,2025-09-01 03:21:00
TXN_A6A59B0C646F,BNK_02_ACC_0010,BNK_07_ACC_0030,9517.67,2025-09-01 03:23:00
TXN_D56420C179D7,BNK_05_ACC_0058,BNK_01_ACC_0004,9754.47,2025-09-01 03:23:00
TXN_1055359D2178,BNK_02_ACC_0047,BNK_08_ACC_0029,8052.45,2025-09-01 03:33:00
TXN_0AE1D2A7B549,BNK_02_ACC_0059,BNK_05_ACC_0048,11097.51,2025-09-01 03:35:00
TXN_FDD6FD066A76,BNK_08_ACC_0050,BNK_06_ACC_0010,9557.64,2025-09-01 04:10:00
TXN_977D47D08E38,BNK_06_ACC_0004,BNK_05_ACC_0006,4933.98,2025-09-01 04:14:00
TXN_F9D17955B67F,BNK_03_ACC_0009,BNK_05_ACC_0046,4095.47,2025-09-01 04:34:00
TXN_DCDAB1A6A495,BNK_07_ACC_0021,BNK_01_ACC_0032,1365.93,2025-09-01 04:41:00
TXN_9BCD9A5C7591,BNK_03_ACC_0005,BNK_06_ACC_0031,17712.77,2025-09-01 05:06:00
TXN_8122CCED0041,BNK_04_ACC_0032,BNK_07_ACC_0039,6069.26,2025-09-01 05:08:00
TXN_F7E752BFBA5B,BNK_08_ACC_0042,BNK_01_ACC_0060,11105.79,2025-09-01 05:10:00
TXN_9BB8868BFF63,BNK_03_ACC_0009,BNK_03_ACC_0042,3102.29,2025-09-01 05:15:00
TXN_AF71023313CA,BNK_03_ACC_0017,BNK_04_ACC_0002,10199.05,2025-09-01 05:41:00
TXN_27A38AE1CD1F,BNK_05_ACC_0027,BNK_06_ACC_0052,12950.73,2025-09-01 05:51:00
TXN_DE4DB5976703,BNK_08_ACC_0013,BNK_05_ACC_0039,4644.45,2025-09-01 06:03:00
TXN_AF8E06A6E81C,BNK_06_ACC_0041,BNK_04_ACC_0047,7139.03,2025-09-01 06:16:00
TXN_361DC703B4F3,BNK_04_ACC_0015,BNK_04_ACC_0016,12415.93,2025-09-01 06:20:00
TXN_9F2CB8DB02CC,BNK_07_ACC_0051,BNK_02_ACC_0004,10558.43,2025-09-01 06:30:00
TXN_04E1466163A7,BNK_08_ACC_0005,BNK_01_ACC_0053,1473.9,2025-09-01 06:46:00
TXN_09FE7A45FE5B,BNK_01_ACC_0047,BNK_05_ACC_0015,11387.77,2025-09-01 07:28:00
TXN_BEC584815E9B,BNK_02_ACC_0053,BNK_03_ACC_0025,4199.27,2025-09-01 07:42:00
TXN_D38AD288F8A3,BNK_03_ACC_0014,BNK_05_ACC_0038,14544.85,2025-09-01 07:53:00
TXN_2A95F29F3DEF,BNK_02_ACC_0029,BNK_07_ACC_0038,24501.53,2025-09-01 08:09:00
TXN_F9357FF2EF28,BNK_08_ACC_0038,BNK_02_ACC_0028,11368.89,2025-09-01 08:23:00
TXN_470F6169F70A,BNK_08_ACC_0014,BNK_04_ACC_0047,3732.5,2025-09-01 08:23:00
TXN_6D3D33D982CA,BNK_05_ACC_0044,BNK_04_ACC_0005,8253.75,2025-09-01 08:31:00
TXN_A00B7BECD03A,BNK_02_ACC_0047,BNK_01_ACC_0007,2141.32,2025-09-01 08:54:00
TXN_8D570BEE497B,BNK_02_ACC_0034,BNK_06_ACC_0009,451.08,2025-09-01 09:05:00
TXN_778173ABDD8D,BNK_08_ACC_0060,BNK_04_ACC_0008,12745.12,2025-09-01 09:15:00
TXN_AD00FAEF5AFC,BNK_02_ACC_0015,BNK_04_ACC_0036,4626.14,2025-09-01 09:18:00
TXN_F9941EC17541,BNK_03_ACC_0024,BNK_08_ACC_0060,654.32,2025-09-01 09:20:00
TXN_DB8ADD42814E,BNK_06_ACC_0029,BNK_07_ACC_0017,9122.78,2025-09-01 09:23:00
TXN_986E2ADB8A7B,BNK_07_ACC_0045,BNK_01_ACC_0014,88.82,2025-09-01 09:26:00
TXN_B10A176B133C,BNK_02_ACC_0030,BNK_07_ACC_0017,12143.28,2025-09-01 09:30:00
TXN_5817811846D0,BNK_03_ACC_0043,BNK_07_ACC_0020,72.57,2025-09-01 09:34:00
TXN_D81651E2989E,BNK_06_ACC_0029,BNK_01_ACC_0053,273.22,2025-09-01 09:35:00
TXN_C254DFDF4A0E,BNK_04_ACC_0038,BNK_02_ACC_0012,203.54,2025-09-01 09:42:00
TXN_CF70053A3936,BNK_05_ACC_0005,BNK_05_ACC_0058,5197.53,2025-09-01 09:43:00
TXN_B00FDF574EA8,BNK_05_ACC_0057,BNK_01_ACC_0043,14899.72,2025-09-01 09:44:00
TXN_81A1C5479DB5,BNK_07_ACC_0018,BNK_06_ACC_0019,4014.92,2025-09-01 09:46:00
TXN_CE8E3BC21A21,BNK_02_ACC_0058,BNK_08_ACC_0041,13915.79,2025-09-01 09:49:00
TXN_AA57C0515908,BNK_04_ACC_0036,BNK_08_ACC_0037,209.6,2025-09-01 09:49:00
TXN_693390FDD4AF,BNK_03_ACC_0006,BNK_07_ACC_0026,5348.26,2025-09-01 09:51:00
TXN_ADC3B41C7F56,BNK_04_ACC_0034,BNK_05_ACC_0024,7551.16,2025-09-01 09:55:00
TXN_1E7A6FC51878,BNK_07_ACC_0001,BNK_02_ACC_0012,79.24,2025-09-01 09:59:00
TXN_F00C74F1D877,BNK_07_ACC_0048,BNK_07_ACC_0025,2209.12,2025-09-01 10:14:00
TXN_BB1D46763CAB,BNK_02_ACC_0031,BNK_03_ACC_0037,18190.08,2025-09-01 10:14:00
TXN_8718EB82163B,BNK_04_ACC_0025,BNK_03_ACC_0021,462.98,2025-09-01 10:18:00
TXN_C2B543BB1D13,BNK_01_ACC_0055,BNK_05_ACC_0005,22770.21,2025-09-01 10:35:00
TXN_8245B2EBA94D,BNK_07_ACC_0017,BNK_06_ACC_0028,285.32,2025-09-01 10:45:00
TXN_E96D21BC4241,BNK_02_ACC_0040,BNK_05_ACC_0048,459.71,2025-09-01 10:50:00
TXN_9759F71656D5,BNK_01_ACC_0004,BNK_07_ACC_0038,10043.04,2025-09-01 10:54:00
TXN_69D6E010B463,BNK_02_ACC_0057,BNK_08_ACC_0037,469.45,2025-09-01 10:55:00
TXN_C58AD8680536,BNK_03_ACC_0025,BNK_01_ACC_0012,7901.46,2025-09-01 10:58:00
TXN_61776E705F1C,BNK_01_ACC_0005,BNK_07_ACC_0004,8099.39,2025-09-01 10:58:00
TXN_039717EE3494,BNK_03_ACC_0016,BNK_05_ACC_0016,2771.83,2025-09-01 11:00:00
TXN_94878B555CA3,BNK_08_ACC_0039,BNK_05_ACC_0005,7342.54,2025-09-01 11:13:00
TXN_0A2B59D2E062,BNK_05_ACC_0011,BNK_07_ACC_0053,20485.12,2025-09-01 11:23:00
TXN_8F0709C596E4,BNK_07_ACC_0002,BNK_06_ACC_0009,289.78,2025-09-01 11:40:00
TXN_235ED3E0D5AC,BNK_02_ACC_0034,BNK_04_ACC_0048,11208.9,2025-09-01 11:56:00
TXN_FFB558CD649F,BNK_08_ACC_0032,BNK_04_ACC_0023,1699.89,2025-09-01 11:57:00
TXN_DA9E8492E167,BNK_02_ACC_0011,BNK_01_ACC_0054,9047.88,2025-09-01 12:07:00
TXN_FBC9A3A924EB,BNK_02_ACC_0034,BNK_06_ACC_0021,11307.48,2025-09-01 12:11:00
TXN_05210E3BDBDE,BNK_05_ACC_0028,BNK_06_ACC_0036,6738.43,2025-09-01 12:12:00
TXN_F6ADA89D7570,BNK_03_ACC_0018,BNK_06_ACC_0001,12877.98,2025-09-01 12:14:00
TXN_3A012444C1B1,BNK_05_ACC_0017,BNK_01_ACC_0038,2477.91,2025-09-01 12:16:00
TXN_AE96E45B3A18,BNK_01_ACC_0028,BNK_06_ACC_0043,8120.22,2025-09-01 12:29:00
TXN_11C37FB52B92,BNK_03_ACC_0048,BNK_08_ACC_0024,3406.22,2025-09-01 12:39:00
TXN_E8AF170AB3C1,BNK_05_ACC_0059,BNK_06_ACC_0017,12901.89,2025-09-01 12:40:00
TXN_5929D3D9690F,BNK_05_ACC_0058,BNK_03_ACC_0005,5548.72,2025-09-01 12:59:00
TXN_5C0A08AD5A2F,BNK_05_ACC_0040,BNK_05_ACC_0025,10102.78,2025-09-01 13:02:00
TXN_1F9FC0652712,BNK_08_ACC_0005,BNK_03_ACC_0049,243.1,2025-09-01 13:04:00
TXN_3479F6E60644,BNK_07_ACC_0011,BNK_02_ACC_0028,13853.8,2025-09-01 13:18:00
TXN_3F750331F9D3,BNK_07_ACC_0010,BNK_08_ACC_0053,5642.83,2025-09-01 13:40:00
TXN_941A4CE073FE,BNK_02_ACC_0057,BNK_01_ACC_0038,5623.5,2025-09-01 13:46:00
TXN_DF7F492487C8,BNK_05_ACC_0028,BNK_02_ACC_0033,5575.04,2025-09-01 13:53:00
TXN_F2B2158F70E0,BNK_02_ACC_0040,BNK_07_ACC_0023,4181.81,2025-09-01 13:56:00
TXN_467444782759,BNK_03_ACC_0033,BNK_02_ACC_0052,376.4,2025-09-01 14:04:00
TXN_55151A78D69E,BNK_06_ACC_0048,BNK_01_ACC_0048,149.84,2025-09-01 14:06:00
TXN_738C3B9E2E04,BNK_02_ACC_0056,BNK_04_ACC_0023,9521.14,2025-09-01 14:17:00
TXN_875370D03C69,BNK_05_ACC_0044,BNK_04_ACC_0014,8590.8,2025-09-01 14:21:00
TXN_7AF847FC3705,BNK_08_ACC_0014,BNK_05_ACC_0019,428.26,2025-09-01 14:25:00
TXN_8693F53EDCA3,BNK_02_ACC_0028,BNK_01_ACC_0006,13111.27,2025-09-01 14:27:00
TXN_58B154BE8A0C,BNK_02_ACC_0050,BNK_02_ACC_0055,221.71,2025-09-01 14:37:00
TXN_04DD79AD5EC0,BNK_07_ACC_0054,BNK_04_ACC_0056,3697.61,2025-09-01 14:39:00
TXN_FE1B8A784CBF,BNK_04_ACC_0020,BNK_07_ACC_0020,265.12,2025-09-01 14:44:00
TXN_E2BB09EDA685,BNK_07_ACC_0017,BNK_06_ACC_0028,274.33,2025-09-01 14:48:00
TXN_62D7F8BA7D9C,BNK_03_ACC_0055,BNK_07_ACC_0018,88.87,2025-09-01 14:49:00
TXN_DCF07272DB0A,BNK_02_ACC_0005,BNK_03_ACC_0006,9058.88,2025-09-01 14:52:00
TXN_AB78427DF98B,BNK_08_ACC_0004,BNK_05_ACC_0021,3949.41,2025-09-01 14:53:00
TXN_86BBB38CE62E,BNK_04_ACC_0059,BNK_05_ACC_0044,11389.37,2025-09-01 14:53:00
TXN_660DD922B6A4,BNK_04_ACC_0049,BNK_04_ACC_0034,12095.99,2025-09-01 14:55:00
TXN_C8B8C7160592,BNK_06_ACC_0049,BNK_05_ACC_0027,8523.59,2025-09-01 15:12:00
TXN_BCC22E415169,BNK_08_ACC_0042,BNK_01_ACC_0017,233.15,2025-09-01 15:13:00
TXN_D08C407C33FA,BNK_01_ACC_0015,BNK_08_ACC_0027,14045.46,2025-09-01 15:16:00
TXN_70144DE0BBFE,BNK_07_ACC_0017,BNK_06_ACC_0028,267.78,2025-09-01 15:17:00
TXN_FD693468195A,BNK_04_ACC_0029,BNK_07_ACC_0055,9322.96,2025-09-01 15:18:00
TXN_CF49F9A127D4,BNK_02_ACC_0046,BNK_07_ACC_0018,421.02,2025-09-01 15:42:00
TXN_97C4D88451E3,BNK_03_ACC_0046,BNK_04_ACC_0008,4928.55,2025-09-01 15:47:00
TXN_A6CBCC4413C1,BNK_03_ACC_0002,BNK_05_ACC_0048,469.47,2025-09-01 15:56:00
TXN_C15B7FCC13B9,BNK_07_ACC_0028,BNK_06_ACC_0047,276.92,2025-09-01 15:58:00
TXN_827A0DE06A3C,BNK_06_ACC_0033,BNK_05_ACC_0040,196.15,2025-09-01 16:08:00
TXN_2A64BFB4876A,BNK_07_ACC_0040,BNK_02_ACC_0036,12035.03,2025-09-01 16:09:00
TXN_6711BCC3AE6C,BNK_05_ACC_0044,BNK_04_ACC_0030,11932.53,2025-09-01 16:16:00
TXN_25267D4A1D51,BNK_03_ACC_0029,BNK_04_ACC_0060,2397.9,2025-09-01 16:21:00
TXN_4FB4FA6F9CC0,BNK_07_ACC_0010,BNK_03_ACC_0021,178.37,2025-09-01 16:21:00
TXN_988B28ABB82C,BNK_07_ACC_0011,BNK_02_ACC_0017,9186.67,2025-09-01 16:33:00
TXN_937EC9209316,BNK_03_ACC_0035,BNK_06_ACC_0018,6783.58,2025-09-01 16:34:00
TXN_62D925CDB539,BNK_02_ACC_0026,BNK_05_ACC_0019,118.91,2025-09-01 16:35:00
TXN_BD0050980B11,BNK_03_ACC_0058,BNK_06_ACC_0041,8205.21,2025-09-01 16:36:00
TXN_BDF8E543EBCD,BNK_07_ACC_0057,BNK_07_ACC_0006,3193.82,2025-09-01 16:49:00
TXN_8E60DA86EDE6,BNK_06_ACC_0041,BNK_06_ACC_0047,369.42,2025-09-01 16:49:00
TXN_B5EEE0DEAC64,BNK_05_ACC_0019,BNK_05_ACC_0031,7384.17,2025-09-01 16:59:00
TXN_2F7F2F75823C,BNK_03_ACC_0006,BNK_04_ACC_0016,5224.32,2025-09-01 17:15:00
TXN_0FE75BA4DF7B,BNK_05_ACC_0050,BNK_08_ACC_0042,13717.16,2025-09-01 17:27:00
TXN_AFFC702FFD27,BNK_02_ACC_0018,BNK_01_ACC_0019,5347.88,2025-09-01 17:36:00
TXN_1617D51228EB,BNK_04_ACC_0025,BNK_04_ACC_0019,1094.83,2025-09-01 17:40:00
TXN_3429302AC613,BNK_06_ACC_0013,BNK_02_ACC_0049,9011.73,2025-09-01 17:46:00
TXN_120951DA9E9A,BNK_05_ACC_0014,BNK_06_ACC_0007,333.69,2025-09-01 17:50:00
TXN_8303C905A69C,BNK_04_ACC_0027,BNK_01_ACC_0052,10009.85,2025-09-01 18:01:00
TXN_2EE5317B5ACC,BNK_04_ACC_0026,BNK_01_ACC_0032,3819.16,2025-09-01 18:13:00
